id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	wid	0	73.5	36.0874	28.23201	186.0685	117	90	2.85688	1,1,1,1
2	spot	0	73.5	95.74564	42.10038	180.6752	100	40	3.6	1,1,1,1
3	spot	0	73.5	133.5839	42.59568	184.2707	100	40	3.6	1,1,1,1
4	spot	0	73.5	177.8605	42.59567	178.8774	100	40	3.6	1,1,1,1
5	spot	0	73.5	200.4224	44.08157	194.1584	100	40	3.6	1,1,1,1
6	spot	-30	73.5	197.9666	42.10038	283.1476	100	40	3.6	1,1,1,1
7	spot	30	73.5	200.3825	41.60508	250.788	100	40	3.6	1,1,1,1
8	spot	0	73.5	212.3459	44.57687	0	100	40	7.769831	1,1,1,1
9	spot	0	73.5	169.1956	44.08157	0	101	50.26171	5.4243	1,1,1,1
10	spot	0	73.5	122.6605	43.09098	0	100	40	3.6	1,1,1,1
11	spot	0	73.5	87.8574	44.08157	0	100	31.57075	3.6	1,1,1,1
12	spot	0	73.5	58.77283	42.59568	0	96	35.96862	3.6	1,1,1,1
13	spot	0	73.5	28.05349	42.10039	10.78657	100	40	3.6	1,1,1,1
15	spot	0	73.5	34.39818	42.10038	47.64072	77	24.60744	3.6	1,1,1,1
