ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
2	./Images/greet.png	-39,37.5,120	0,0,1	0,1,0	-1,0,0	-89.5845	-10.5	0.2	4	none(caption)	-1:-1	1
4	./Images/shozo/002.png	-39,37.5,120	0,0,1	0,1,0	-1,0,0	-55.85799	-10.4685	0.2	2	none(caption)	-1:-1	3
7	./Images/shozo/アダム・ファーガソンの肖像.jpg	-39,37.5,120	0,0,1	0,1,0	-1,0,0	-27.05336	-11.0355	0.2	2	Wooden_thin	-1:-1	4
8	./Images/shozo/アマリア・ファン・ソルムス＝ブランウェルスの肖像.jpg	-39,37.5,120	0,0,1	0,1,0	-1,0,0	13.01309	-10.6575	0.2	1.8	Wooden_thin	-1:-1	5
10	./Images/shozo/ナポレオン1世.jpg	-39,37.5,120	0,0,1	0,1,0	-1,0,0	52.07044	-10.248	0.2	1.05	Metal_Vertical	-1:-1	7
12	./Images/shozo/ナント侯アントワーヌ・フランセ伯爵の肖像.jpg	-39,37.5,120	0,0,1	0,1,0	-1,0,0	88.3114	-10.0905	0.2	1.5	Metal_Vertical2	-1:-1	9
13	./Images/shozo/ハロルド・ウィルソン夫人.jpg	0,37.5,237	1,0,0	0,1,0	0,0,1	-21.69708	-10.5	0.2	1.7	Metal_Vertical2	-1:-1	10
14	./Images/shozo/フェルテ＝アンボー侯爵夫人.jpg	0,37.5,237	1,0,0	0,1,0	0,0,1	14.45034	-10.1535	0.2	2	Wooden_thin	-1:-1	11
15	./Images/shozo/ブルボン＝ブラガンサ家の王子、ドン・セバスティアン・マリー・ガブリエル.jpg	39,37.5,120	0,0,-1	0,1,0	1,0,0	-91.26221	-9.838501	0.2	2	Metal_Vertical	-1:-1	12
16	./Images/shozo/ベッドフォード伯爵夫人　アン・カーの肖像.jpg	39,37.5,120	0,0,-1	0,1,0	1,0,0	-45.99383	-9.996	0.2	1.4	Metal_Vertical2	-1:-1	13
19	./Images/shozo/戴冠式の皇帝ナポレオン.jpg	39,37.5,120	0,0,-1	0,1,0	1,0,0	-4.817361	-9.649503	0.2	1	Metal_Vertical	-1:-1	16
21	./Images/shozo/男の肖像.jpg	39,37.5,120	0,0,-1	0,1,0	1,0,0	29.23465	-9.932995	0.2	0.95	Wooden_thin	-1:-1	18
22	./Images/shozo/男の肖像(1).jpg	39,37.5,120	0,0,-1	0,1,0	1,0,0	59.61072	-10.437	0.2	1.6	Wooden_thin	-1:-1	19
24	./Images/shozo/蒐集家の肖像.jpg	39,37.5,120	0,0,-1	0,1,0	1,0,0	99.03912	-9.964501	0.2	1.8	Metal_Vertical2	-1:-1	21
25	./Images/shozo/アダム・ファーガソンの肖像.png	-39,37.5,120	0,0,1	0,1,0	-1,0,0	-8.186881	-10.4055	0.2	1	none(caption)	-1:-1	4
26	./Images/shozo/アマリア・ファン・ソルムス＝ブランウェルスの肖像.png	-39,37.5,120	0,0,1	0,1,0	-1,0,0	30.96812	-10.2165	0.2	1	none(caption)	-1:-1	5
27	./Images/shozo/ナポレオン1世.png	-39,37.5,120	0,0,1	0,1,0	-1,0,0	68.76582	-9.775502	0.2	1	none(caption)	-1:-1	6
28	./Images/shozo/ナント侯アントワーヌ・フランセ伯爵の肖像.png	-39,37.5,120	0,0,1	0,1,0	-1,0,0	105.0548	-10.5	0.2	1	none(caption)	-1:-1	7
29	./Images/shozo/ハロルド・ウィルソン夫人.png	0,37.5,237	1,0,0	0,1,0	0,0,1	-3.401032	-10.815	0.2	1	none(caption)	-1:-1	8
30	./Images/shozo/フェルテ＝アンボー侯爵夫人.png	0,37.5,237	1,0,0	0,1,0	0,0,1	31.36522	-10.5	0.2	1	none(caption)	-1:-1	9
31	./Images/shozo/ブルボン＝ブラガンサ家の王子、ドン・セバスティアン・マリー・ガブリエル.png	39,37.5,120	0,0,-1	0,1,0	1,0,0	-66.36166	-10.185	0.2	1	none(caption)	-1:-1	14
32	./Images/shozo/ベッドフォード伯爵夫人　アン・カーの肖像.png	39,37.5,120	0,0,-1	0,1,0	1,0,0	-29.28726	-10.374	0.2	1	none(caption)	-1:-1	15
33	./Images/shozo/戴冠式の皇帝ナポレオン.png	39,37.5,120	0,0,-1	0,1,0	1,0,0	11.46614	-10.1535	0.2	1	none(caption)	-1:-1	16
35	./Images/shozo/男の肖像(1).png	39,37.5,120	0,0,-1	0,1,0	1,0,0	41.71289	-9.9645	0.2	1	none(caption)	-1:-1	18
36	./Images/shozo/男の肖像.png	39,37.5,120	0,0,-1	0,1,0	1,0,0	75.63785	-9.775501	0.2	1	none(caption)	-1:-1	19
38	./Images/shozo/蒐集家の肖像.png	27.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-1.593754	-10.5	0.2	1	none(caption)	-1:-1	21
