id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		0,8.966871,-37.67274	0,0,0.9999982		0.1124878
2	3	1		0.06368368,8.966871,-7.697778	0,0,0.9999982		0.1124878
3	4	2		5.067489,7.650826,-0.4495766	-0.5006096,0,0.8656732		4.912487
4	5	3		6.48785,7.650826,18.3732	-0.5006096,0,0.8656732		4.912487
5	6	4		0.1670201,8.65894,26.89495	-0.7131333,0,0.7010285		1.162486
6	9	5		-10.98677,8.878572,19.69616	-0.964051,0,0.2657171		0.4124856
9	10	6		-19.83297,10.10902,21.72029	-0.9999898,0,0		-3.9375
10	11	9		-19.83297,7.064456,21.72029	-0.9997953,0,0.02023548		7.912502
11	12	10		-19.49599,9.362878,38.36983	-0.9999745,0,0		-1.237488
12	13	11		-19.49599,7.135353,38.36983	-0.9994447,0,0.03332144		7.462502
13	14	12		-20.6951,8.790455,64.38615	-0.9999897,0,0		0.7125028
14	15	13		6.206216,8.231607,67.1032	-0.9251458,0,0.3796118		2.662503
15	16	14		-2.818588,7.871814,76.9037	-0.6869652,0,0.7266903		4.012503
16	17	15		-6.804113,8.149177,95.56083	-0.9999824,0,0		2.962503
17	18	16		-19.90732,8.149177,90.80978	-0.9999824,0,0		2.962503
18	19	17		-25.3465,8.149177,108.7613	-0.9999824,0,0		2.962503
19	20	18		-3.519539,8.149177,134.863	-0.9999824,0,0		2.962503
20	21	19		-22.83555,8.149177,134.7483	-0.9999824,0,0		2.962503
21	22	20		-24.92273,8.149177,150.0414	-0.9999824,0,0		2.962503
22	23	21		-1.097236,8.149177,172.1431	-0.9999824,0,0		2.962503
23	24	22		-24.41066,8.149177,172.0047	-0.9999824,0,0		2.962503
24	25	23		-24.48975,8.149177,185.3258	-0.9999824,0,0		2.962503
25	26	24		-1.976308,8.149177,207.4453	-0.9999824,0,0		2.962503
26	27	25		-20.62867,8.149177,207.3345	-0.9999824,0,0		2.962503
27	28	26		-26.04037,8.149177,221.2903	-0.9999824,0,0		2.962503
28	29	27		10.48351,8.485494,197.9906	-0.8078889,0,0.5893348		1.762502
29	30	28		-3.471947,9.099367,212.0091	-0.2594977,0,0.9657437		-0.3374939
30	31	29		-18.73788,9.099367,215.583	0.03070891,0,0.9995283		-0.3374939
31	32	30		-4.504316,9.099367,223.8008	0.03070891,0,0.9995283		-0.3374939
32	33	31		10.09907,9.099367,200.7159	0.03070891,0,0.9995283		-0.3374939
33	34	32		15.99923,9.099367,219.1954	0.03070891,0,0.9995283		-0.3374939
34	35	33		28.12724,9.099367,223.488	0.03070891,0,0.9995283		-0.3374939
35	36	34		-3.66619,8.315224,178.2598	0.7338436,0,0.6793184		2.362505
36	37	35		7.222255,8.571883,194.0641	0.9450029,0,0.327062		1.462504
37	38	36		15.55834,9.055218,208.2778	0.9988562,0,0.047813		-0.1875
38	39	37		27.95117,9.055218,186.1966	0.9988562,0,0.047813		-0.1875
39	40	38		10.91292,8.399896,162.0868	0.9996055,0,-0.02808619		2.062503
40	41	39		26.36181,8.399896,166.9785	0.9996055,0,-0.02808619		2.062503
41	42	40		25.89455,8.399896,150.3487	0.9996055,0,-0.02808619		2.062503
42	43	41		7.72081,8.399896,119.5573	0.9996055,0,-0.02808619		2.062503
43	44	42		24.51698,9.011046,124.4164	0.9999983,0,0		-0.0375061
44	45	43		27.14825,9.011046,108.4405	0.9999983,0,0		-0.0375061
45	46	44		7.142751,9.011046,86.51886	0.9999983,0,0		-0.0375061
46	47	45		28.44227,9.011046,89.13989	0.9999983,0,0		-0.0375061
47	48	46		28.42192,9.011046,78.49268	0.9999983,0,0		-0.0375061
48	49	47		11.74748,9.011046,58.561	0.9999983,0,0		-0.0375061
49	50	48		25.73564,9.011046,58.53429	0.9999983,0,0		-0.0375061
50	51	49		25.71017,9.011046,45.21141	0.9999983,0,0		-0.0375061
51	52	50		0.8674523,9.011046,22.63342	0.9999983,0,0		-0.0375061
52	53	51		22.18498,9.011046,22.59267	0.9999983,0,0		-0.0375061
53	54	52		25.22058,7.988375,12.44775	0.3663435,0,-0.9304798		3.562503
54	55	53		-25.41072,8.315225,39.85737	0.9945953,0,-0.1038278		2.362501
55	56	54		-28.42907,9.14348,13.24788	0.6972843,0,0.7167946		-0.4874878
56	-1	55		13.5135,9.830337,-3.222636	-0.3953923,0,0.9185123		-2.887512
